,id,group,description,score,value
0,AG1,1,"i. aguascalientes educado, integrado y equitativo",44.09,educado
1,AG1,1,"i. aguascalientes educado, integrado y equitativo",38.59,integrado
2,AG1,1,"i. aguascalientes educado, integrado y equitativo",15.1,equitativo
3,AG2,1,"ii. aguascalientes derecho, seguro y libre",99.0,ii. aguascalientes
4,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",46.59,gobierno
5,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",33.0,íntegro
6,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",12.8,austero
7,AG4,1,"iv. aguascalientes competitivo, diversificado y próspero",43.79,diversificado
8,AG4,1,"iv. aguascalientes competitivo, diversificado y próspero",43.79,próspero
9,AG5,1,"v. aguascalientes responsable, sostenible y limpio",90.19,v. aguascalientes
10,AG5,1,"v. aguascalientes responsable, sostenible y limpio",4.59,sostenible
11,BC1,1,1. bienestar social,100.0,bienestar social
12,BC2,1,2. seguridad y paz para todos,69.0,seguridad
13,BC2,1,2. seguridad y paz para todos,30.89,paz
14,BC3,1,"3. dinamismo económico, igualitario y sostenible",64.09,dinamismo
15,BC3,1,"3. dinamismo económico, igualitario y sostenible",25.0,económico
16,BC4,1,4. desarrollo urbano y ordenamiento del territorio,39.59,ordenamiento
17,BC4,1,4. desarrollo urbano y ordenamiento del territorio,29.39,desarrollo
18,BC4,1,4. desarrollo urbano y ordenamiento del territorio,29.39,territorio
19,BC5,1,5. gobierno austero y hacienda ordenada,52.5,ordenada
20,BC5,1,5. gobierno austero y hacienda ordenada,43.4,gobierno
21,BC6,1,6. política y gobernabilidad democrática,44.29,política
22,BC6,1,6. política y gobernabilidad democrática,42.59,gobernabilidad
23,BC7,1,"7. equidad, inclusión y no discriminación",36.59,discriminación
24,BC7,1,"7. equidad, inclusión y no discriminación",32.9,inclusión
25,BC7,1,"7. equidad, inclusión y no discriminación",30.29,equidad
26,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",32.09,corrupción
27,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",23.2,transparencia
28,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",21.7,honestidad
29,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",20.89,combate
30,BC9,1,9. comunidades dignas,100.0,comunidad
31,CH1,1,1. desarrollo humano y social,96.19,desarrollo humano
32,CH1,1,1. desarrollo humano y social,3.7,social
33,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",31.89,desarrollo sustentable
34,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",30.5,economía
35,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",30.2,innovación
36,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",43.59,infraestructura
37,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",42.5,medio ambiente
38,CH4,1,4. justicia y seguridad,68.8,seguridad
39,CH4,1,4. justicia y seguridad,31.1,justicia
40,CH5,1,5. gobierno responsable,92.5,gobierno
41,CH5,1,5. gobierno responsable,7.5,responsable
42,CM1,1,1. justicia social para el bienestar,61.79,justicia social
43,CM1,1,1. justicia social para el bienestar,38.09,bienestar
44,CM2,1,2. crecimiento económico inclusivo,92.0,crecimiento económico
45,CM2,1,2. crecimiento económico inclusivo,8.0,inclusivo
46,CM3,1,3. desarrollo responsable y sostenible,76.4,desarrollo sostenible
47,CM3,1,3. desarrollo responsable y sostenible,21.2,desarrollo
48,CM4,1,4. gobernabilidad y protección ciudadana,49.09,protección
49,CM4,1,4. gobernabilidad y protección ciudadana,48.59,gobernabilidad
50,CM5,1,5. gobierno honesto y con resultados,47.59,resultado
51,CM5,1,5. gobierno honesto y con resultados,43.79,gobierno
52,CM6,1,6. perspectiva de género,68.19,género
53,CM6,1,6. perspectiva de género,31.7,perspectiva
54,CM7,1,7. derechos humanos ,100.0,derechos humanos
55,CS1,1,1. gobierno eficaz y honesto,78.0,gobierno
56,CS1,1,1. gobierno eficaz y honesto,13.8,honesto
57,CS2,1,2. bienestar social,100.0,bienestar social
58,CS3,1,"3. educación, ciencia y cultura",36.59,educación
59,CS3,1,"3. educación, ciencia y cultura",32.9,ciencia
60,CS3,1,"3. educación, ciencia y cultura",30.29,cultura
61,CS4,1,4. desarrollo económico y competitividad,59.7,desarrollo económico
62,CS4,1,4. desarrollo económico y competitividad,40.2,competitividad
63,CS5,1,5. biodiversidad y desarrollo sustentable,56.4,desarrollo sustentable
64,CS5,1,5. biodiversidad y desarrollo sustentable,43.5,biodiversidad
65,DG1,1,eje 1. transparencia y rendición de cuentas.,39.0,rendición de cuentas
66,DG1,1,eje 1. transparencia y rendición de cuentas.,32.5,transparencia
67,DG1,1,eje 1. transparencia y rendición de cuentas.,28.39,eje
68,DG2,1,eje 2. gobierno con sentido humano y social.,36.59,eje
69,DG2,1,eje 2. gobierno con sentido humano y social.,36.09,gobierno
70,DG2,1,eje 2. gobierno con sentido humano y social.,24.39,sentido
71,DG3,1,eje 3. estado de derecho.,70.5,estado de derecho
72,DG3,1,eje 3. estado de derecho.,29.39,eje
73,DG4,1,eje 4. desarrollo con equidad.,35.5,eje
74,DG4,1,eje 4. desarrollo con equidad.,33.09,desarrollo
75,DG4,1,eje 4. desarrollo con equidad.,31.2,equidad
76,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",66.09,méxico
77,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",21.7,pilar
78,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",34.7,innovador
79,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",29.5,méxico
80,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",20.89,pilar
81,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",10.69,económico
82,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",37.59,méxico
83,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",29.2,pilar
84,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",26.6,estado
85,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,37.29,seguridad
86,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,31.29,méxico
87,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,22.1,estado
88,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,9.1,justicia
89,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",27.29,tecnología
90,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",22.89,buen gobierno
91,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",22.6,igualdad de género
92,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",15.8,conectividad
93,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",9.5,eje
94,GT1,1,seguridad y paz social,68.59,seguridad
95,GT1,1,seguridad y paz social,28.39,paz
96,GT2,1,desarrollo humano y social,96.19,desarrollo humano
97,GT2,1,desarrollo humano y social,3.7,social
98,GT3,1,educación de calidad,60.5,educación
99,GT3,1,educación de calidad,39.4,calidad
100,GT4,1,economía para todos,100.0,economía
101,GT5,1,desarrollo ordenado y sostenible,76.8,desarrollo sostenible
102,GT5,1,desarrollo ordenado y sostenible,20.29,desarrollo
103,GT6,1,gobierno humano y eficaz,86.5,gobierno
104,GT6,1,gobierno humano y eficaz,9.6,eficaz
105,GT7,1,agenda transversal de derechos humanos,50.9,derechos humanos
106,GT7,1,agenda transversal de derechos humanos,44.29,agenda
107,GT8,1,agenda transversal de igualdad entre mujeres y hombres,28.5,agenda
108,GT8,1,agenda transversal de igualdad entre mujeres y hombres,24.29,igualdad
109,GT8,1,agenda transversal de igualdad entre mujeres y hombres,23.5,mujer
