,id,group,description,lemma,score
0,AG1,1,"i. aguascalientes educado, integrado y equitativo",cortés,43.09
1,AG1,1,"i. aguascalientes educado, integrado y equitativo",integrado,38.4
2,AG1,1,"i. aguascalientes educado, integrado y equitativo",justo,15.69
3,AG2,1,"ii. aguascalientes derecho, seguro y libre",derecho,5.69
4,AG2,1,"ii. aguascalientes derecho, seguro y libre",cierto,5.4
5,AG2,1,"ii. aguascalientes derecho, seguro y libre",libre,1.79
6,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",ministerio,51.59
7,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",entero,29.0
8,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",austero,11.89
9,AG3,1,"iii. aguascalientes con gobierno íntegro, austero y abierto",extravertido,1.89
10,AG4,1,"iv. aguascalientes competitivo, diversificado y próspero",diversificado,43.29
11,AG4,1,"iv. aguascalientes competitivo, diversificado y próspero",favorable,43.0
12,AG4,1,"iv. aguascalientes competitivo, diversificado y próspero",competitivo,10.1
13,AG5,1,"v. aguascalientes responsable, sostenible y limpio",diligente,6.5
14,AG5,1,"v. aguascalientes responsable, sostenible y limpio",sostenible,5.59
15,AG5,1,"v. aguascalientes responsable, sostenible y limpio",limpio,1.7
16,BC1,1,1. bienestar social,estado de bienestar,100.0
17,BC2,1,2. seguridad y paz para todos,seguridad,63.09
18,BC2,1,2. seguridad y paz para todos,paz,36.79
19,BC3,1,"3. dinamismo económico, igualitario y sostenible",dinamismo,62.7
20,BC3,1,"3. dinamismo económico, igualitario y sostenible",económico,25.5
21,BC3,1,"3. dinamismo económico, igualitario y sostenible",similar,7.19
22,BC3,1,"3. dinamismo económico, igualitario y sostenible",sostenible,4.3
23,BC4,1,4. desarrollo urbano y ordenamiento del territorio,colocación,37.09
24,BC4,1,4. desarrollo urbano y ordenamiento del territorio,desarrollo,31.7
25,BC4,1,4. desarrollo urbano y ordenamiento del territorio,territorio,29.39
26,BC4,1,4. desarrollo urbano y ordenamiento del territorio,ciudadano,1.6
27,BC5,1,5. gobierno austero y hacienda ordenada,ministerio,49.7
28,BC5,1,5. gobierno austero y hacienda ordenada,ordenada,46.09
29,BC5,1,5. gobierno austero y hacienda ordenada,austero,4.0
30,BC6,1,6. política y gobernabilidad democrática,política,44.7
31,BC6,1,6. política y gobernabilidad democrática,gobernabilidad,42.0
32,BC6,1,6. política y gobernabilidad democrática,democrático,13.1
33,BC7,1,"7. equidad, inclusión y no discriminación",discriminación,37.0
34,BC7,1,"7. equidad, inclusión y no discriminación",implantación,33.09
35,BC7,1,"7. equidad, inclusión y no discriminación",equidad,29.7
36,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",corrupción,32.09
37,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",transparencia,22.39
38,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",honradez,21.39
39,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",batalla,21.2
40,BC8,1,"8. honestidad, transparencia y combate frontal a la corrupción",frontal,2.5
41,BC9,1,9. comunidades dignas,comunidad,100.0
42,CH1,1,1. desarrollo humano y social,desarrollo humano,95.59
43,CH1,1,1. desarrollo humano y social,social,4.3
44,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",economía,32.5
45,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",innovación,30.5
46,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",desarrollo sostenible,29.6
47,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",equilibrio,6.59
